colour_id	divergences
2126.5637	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy] DB[Blauw Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.5637	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy] DB[Blauw Army Suède]
2126.9800	color_name: XLS[Black] DB[Zwart Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.9800	color_name: XLS[Black] DB[Zwart Leer]
2126.9840	color_name: XLS[Black Reptile Print] DB[Zwart Reptiel Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.9840	color_name: XLS[Black Reptile Print] DB[Zwart Reptiel Leer]
2126.9900	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2133.0126	color_basic: XLS[Fuchsia, Multi colour] DB[Pink]
2133.1900	color_basic: XLS[brown, Multi colour] DB[Brown] | color_name: XLS[Camel Combi] DB[Camel Leer & Oranje Leer Combi]
2133.5736	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Cobalti Combi] DB[Kobalt Leer & Rood Leer Combi]
2133.9800	color_name: XLS[Black] DB[Zwart Leer Combi]
2133.9807	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Yellow Combi] DB[Zwart Leer & Geel Leer Combi]
2133.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Fuchsia Combi] DB[Zwart Leer & Wit Leer Combi]
2137.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour]
2137.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck]
2137.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy Print] DB[Blauw Fantasie Suède] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy Print] DB[Blauw Fantasie Suède]
2137.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair]
2137.9800	color_name: XLS[Black] DB[Zwart Leer] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.9800	color_name: XLS[Black] DB[Zwart Leer]
2137.9805	constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
